===== Starting battle of <BestOffense> vs <PolarBear> with memory tape size: 14 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | -2 | >114 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >114 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >115 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >115 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >116 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >116 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >117 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >117 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >118 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >118 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >119 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >119 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >120 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >120 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >121 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >121 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >122 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >122 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >123 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >123 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >124 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >124 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >125 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >125 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >126 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >126 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >127 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >127 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >128 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >128 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-127 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-127 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-126 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-126 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-125 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-125 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-124 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-124 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-123 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-123 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-122 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-122 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-121 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-121 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-120 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-120 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-119 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-119 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-118 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-118 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-117 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-117 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-116 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-116 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-115 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-115 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-114 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-114 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-113 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-113 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-112 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-112 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-111 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-111 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-110 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-110 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-109 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-109 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-108 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-108 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-107 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-107 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-106 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-106 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-105 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-105 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-104 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-104 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-103 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-103 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-102 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-102 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-101 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-101 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-100 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-100 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-99 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-99 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-98 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-98 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-97 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-97 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-96 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-96 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-95 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-95 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-94 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-94 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-93 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-93 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-92 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-92 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-91 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-91 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-90 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-90 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-89 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-89 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-88 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-88 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-87 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-87 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-86 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-86 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-85 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-85 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-84 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-84 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-83 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-83 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-82 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-82 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-81 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-81 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-80 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-80 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-79 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-79 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-78 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-78 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-77 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-77 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-76 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-76 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-75 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-75 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-74 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-74 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-73 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-73 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-72 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-72 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-71 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-71 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-70 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-70 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-69 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-69 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-68 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-68 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-67 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-67 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-66 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-66 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-65 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-65 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-64 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-64 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-63 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-63 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-62 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-62 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-61 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-61 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-60 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-60 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-59 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-59 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-58 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-58 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-57 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-57 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-56 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-56 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-55 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-55 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-54 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-54 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-53 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-53 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-52 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-52 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-51 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-51 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-50 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-50 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-49 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-49 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-48 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-48 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-47 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-47 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-46 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-46 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-45 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-45 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-44 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-44 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-43 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-43 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-42 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-42 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-41 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-41 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-40 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-40 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-39 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-39 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-38 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-38 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-37 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-37 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-36 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-36 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-35 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-35 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-34 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-34 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-33 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-33 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-32 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-32 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-31 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-31 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-30 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-30 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-29 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
[ 128 | -2 | >-29 | 0 | 0 | 0 | 0 | -1< | 1 | -5 | 5 | 0 | 0 | 128 ]
